age,sex,admission_category,province,world_region,speaks_official_language,education_level,family_size,field_of_study,previous_occupation,occupation_category,years_of_experience,teer_category,credential_recognition_status,regulated_profession,employment_probability,employed,employment_category,employment_occupation,employment_sector,occupationally_downgraded,annual_income,months_to_employment,rent_to_income_ratio,housing_affordable,affordability_score
38,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Fine Arts,Journalist,"Arts, Culture & Recreation",8,TEER 1,Fully Recognized,0,0.8912683888840068,1,"Arts, Culture & Recreation",Photographer,Information & Cultural Industries,0,93900.0,2,0.27,1,0.878
30,M,Skilled Worker,Ontario,South Asia,1,College,1,Engineering Technology,Electrician,"Trades, Transport & Equipment Operators",9,TEER 2,Partially Recognized,0,0.8714413160800064,1,"Trades, Transport & Equipment Operators",Electrician,Transportation & Warehousing,0,43000.0,2,0.59,0,0.603
33,M,Skilled Worker,Ontario,South Asia,1,University,2,Mathematics,IT Analyst,Natural & Applied Sciences,3,TEER 1,Fully Recognized,0,0.879081733244869,1,Natural & Applied Sciences,Mechanical Engineer,Professional Services,0,65900.0,7,0.38,0,0.739
30,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Health Sciences,Dentist,Health,0,TEER 1,Fully Recognized,1,0.879081733244869,1,Health,Physician,Health Care & Social Assistance,0,98800.0,3,0.26,1,0.895
28,M,Skilled Worker,Ontario,South Asia,1,University,3,Health Sciences,Dentist,Health,6,TEER 1,Fully Recognized,1,0.8863273012718985,1,Health,Pharmacist,Health Care & Social Assistance,0,68400.0,2,0.37,0,0.754
38,M,Skilled Worker,Ontario,South Asia,1,University,5,Business Administration,HR Specialist,"Business, Finance & Administration",10,TEER 1,Partially Recognized,0,0.8863273012718985,1,"Business, Finance & Administration",Accountant,Public Administration,0,76900.0,4,0.33,0,0.796
28,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Engineering Technology,Plumber,"Trades, Transport & Equipment Operators",0,TEER 2,Fully Recognized,0,0.8863273012718985,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Transportation & Warehousing,0,45000.0,4,0.56,0,0.623
24,M,Skilled Worker,Ontario,South Asia,1,University,3,Engineering Technology,Plumber,"Trades, Transport & Equipment Operators",5,TEER 2,Not Assessed,0,0.879081733244869,0,Not Employed,Not Employed,Not Applicable,0,0.0,8,1.75,0,0.352
28,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Finance,Financial Analyst,"Business, Finance & Administration",7,TEER 1,Fully Recognized,0,0.8941417175431373,1,Manufacturing & Utilities,Warehouse Labourer,Manufacturing,1,45400.0,3,0.56,0,0.627
42,M,Skilled Worker,Ontario,South Asia,1,College,1,Practical Nursing,Registered Nurse,Health,12,TEER 1,Not Recognized,1,0.8598160571634877,0,Not Employed,Not Employed,Not Applicable,0,0.0,4,1.75,0,0.344
30,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,1,Engineering,Software Developer,Natural & Applied Sciences,4,TEER 1,Not Assessed,0,0.8366844858642852,1,"Trades, Transport & Equipment Operators",Truck Driver,Manufacturing,1,58200.0,36,0.43,0,0.681
32,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,5,Manufacturing Technology,Assembly Line Worker,Manufacturing & Utilities,6,TEER 5,Partially Recognized,0,0.8863273012718985,1,Manufacturing & Utilities,Assembly Line Worker,Transportation & Warehousing,0,54600.0,1,0.46,0,0.681
21,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Economics,HR Specialist,"Business, Finance & Administration",0,TEER 1,Partially Recognized,0,0.8811916074114801,1,"Business, Finance & Administration",Bookkeeper,Professional Services,0,100700.0,1,0.25,1,0.902
23,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Management,Construction Manager,Management,0,TEER 0,Fully Recognized,0,0.8863273012718985,1,Management,Restaurant Manager,Professional Services,0,104100.0,1,0.24,1,0.907
37,M,Skilled Worker,Ontario,South Asia,1,University,2,Psychology,Social Worker,"Education, Law & Social Services",10,TEER 1,Partially Recognized,1,0.8822345526848225,1,"Education, Law & Social Services",Early Childhood Educator,Public Administration,0,91300.0,1,0.28,1,0.862
32,M,Skilled Worker,Ontario,South Asia,1,College,2,Business Administration,Retail Manager,Management,12,TEER 0,Not Recognized,0,0.8645683220961262,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,30100.0,2,0.84,0,0.498
24,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Engineering,Civil Engineer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,Data Analyst,Information Technology,0,81700.0,1,0.31,0,0.819
29,M,Skilled Worker,Ontario,South Asia,1,University,2,Computer Science,IT Analyst,Natural & Applied Sciences,4,TEER 1,Partially Recognized,0,0.8769396231615978,1,Natural & Applied Sciences,Civil Engineer,Information Technology,0,85600.0,1,0.29,1,0.835
36,M,Skilled Worker,Ontario,South Asia,1,University,1,Health Sciences,Registered Nurse,Health,7,TEER 1,Partially Recognized,1,0.8780147269152849,1,Health,Registered Nurse,Health Care & Social Assistance,0,79100.0,9,0.32,0,0.804
22,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Engineering Technology,Electrician,"Trades, Transport & Equipment Operators",0,TEER 2,Fully Recognized,0,0.8863273012718985,1,"Trades, Transport & Equipment Operators",Plumber,Transportation & Warehousing,0,61900.0,1,0.41,0,0.72
34,M,Skilled Worker,Ontario,South Asia,1,College,3,Business Administration,Retail Sales Associate,Sales & Service,12,TEER 4,Fully Recognized,0,0.8811916074114801,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,0,66700.0,5,0.38,0,0.743
34,M,Skilled Worker,Ontario,South Asia,1,University,1,Nursing,Physician,Health,10,TEER 1,Partially Recognized,1,0.8822345526848225,1,Health,Registered Nurse,Health Care & Social Assistance,0,78700.0,2,0.32,0,0.804
51,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Social Work,Teacher,"Education, Law & Social Services",17,TEER 1,Partially Recognized,1,0.8863273012718985,1,Sales & Service,Food Service Supervisor,Retail Trade,1,68400.0,2,0.37,0,0.754
30,M,Skilled Worker,Ontario,South Asia,0,College,2,Skilled Trades,Assembly Line Worker,Manufacturing & Utilities,3,TEER 5,Partially Recognized,0,0.8254565676199239,1,Manufacturing & Utilities,Warehouse Labourer,Transportation & Warehousing,0,30800.0,1,0.82,0,0.489
24,M,Skilled Worker,Ontario,South Asia,1,University,3,Computer Science,Mechanical Engineer,Natural & Applied Sciences,1,TEER 1,Fully Recognized,0,0.8822345526848225,0,Not Employed,Not Employed,Not Applicable,0,0.0,2,1.75,0,0.353
40,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,1,Engineering,Mechanical Engineer,Natural & Applied Sciences,10,TEER 1,Partially Recognized,0,0.8598160571634877,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,34100.0,1,0.74,0,0.532
36,M,Skilled Worker,Ontario,South Asia,0,College,1,Practical Nursing,Physician,Health,7,TEER 1,Not Recognized,1,0.8166424128792186,1,Health,Physician,Health Care & Social Assistance,0,86100.0,3,0.29,1,0.813
36,M,Skilled Worker,Ontario,South Asia,0,University,1,Computer Science,Mechanical Engineer,Natural & Applied Sciences,12,TEER 1,Partially Recognized,0,0.8549250181088225,1,"Trades, Transport & Equipment Operators",Electrician,Manufacturing,1,67000.0,12,0.38,0,0.734
34,M,Skilled Worker,Ontario,South Asia,1,High School,4,General Studies,Software Developer,Natural & Applied Sciences,14,TEER 1,Not Assessed,0,0.8549250181088225,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.342
23,M,Skilled Worker,Ontario,South Asia,1,High School,4,General Studies,HR Specialist,"Business, Finance & Administration",0,TEER 1,Partially Recognized,0,0.8511644112002427,1,"Business, Finance & Administration",Administrative Officer,Finance & Insurance,0,45300.0,1,0.56,0,0.61
34,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Business Administration,Financial Analyst,"Business, Finance & Administration",3,TEER 1,Fully Recognized,0,0.8832695553891954,1,"Business, Finance & Administration",Accountant,Finance & Insurance,0,69100.0,3,0.36,0,0.758
28,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Mechanical Engineer,Natural & Applied Sciences,7,TEER 1,Not Recognized,0,0.8486129051614334,0,Not Employed,Not Employed,Not Applicable,0,0.0,3,1.75,0,0.339
27,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,2,TEER 5,Partially Recognized,0,0.8811916074114801,1,Manufacturing & Utilities,Assembly Line Worker,Manufacturing,1,16400.0,2,1.54,0,0.418
34,M,Skilled Worker,Ontario,South Asia,1,College,5,Information Technology,Software Developer,Natural & Applied Sciences,9,TEER 1,Fully Recognized,0,0.8769396231615978,1,Natural & Applied Sciences,Data Analyst,Professional Services,0,89700.0,8,0.28,1,0.854
37,M,Skilled Worker,Ontario,South Asia,1,University,1,Computer Science,IT Analyst,Natural & Applied Sciences,10,TEER 1,Partially Recognized,0,0.8863273012718985,0,Not Employed,Not Employed,Not Applicable,0,0.0,9,1.75,0,0.355
33,M,Skilled Worker,Ontario,South Asia,1,University,2,Accounting,Accountant,"Business, Finance & Administration",6,TEER 1,Fully Recognized,0,0.8873309277880431,1,"Business, Finance & Administration",Accountant,Public Administration,0,85300.0,5,0.3,0,0.836
34,M,Skilled Worker,Ontario,South Asia,0,College,2,Hospitality Management,Restaurant Manager,Management,12,TEER 0,Fully Recognized,0,0.8486129051614334,1,Management,Operations Manager,Retail Trade,0,112800.0,2,0.22,1,0.895
35,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Psychology,Lawyer,"Education, Law & Social Services",7,TEER 1,Not Recognized,1,0.8714413160800064,1,"Trades, Transport & Equipment Operators",Plumber,Transportation & Warehousing,1,51200.0,11,0.49,0,0.655
27,M,Skilled Worker,Ontario,South Asia,1,College,5,Engineering Technology,Welder,"Trades, Transport & Equipment Operators",6,TEER 2,Fully Recognized,0,0.8801406805397638,1,"Trades, Transport & Equipment Operators",Welder,Manufacturing,0,57000.0,3,0.44,0,0.692
28,M,Skilled Worker,Ontario,South Asia,1,University,3,Mathematics,Data Analyst,Natural & Applied Sciences,4,TEER 1,Fully Recognized,0,0.8822345526848225,1,Natural & Applied Sciences,Software Developer,Construction,0,99300.0,1,0.25,1,0.9
36,M,Skilled Worker,Ontario,South Asia,1,College,3,Human Resources,Financial Analyst,"Business, Finance & Administration",12,TEER 1,Partially Recognized,0,0.8758563838253973,1,Manufacturing & Utilities,Warehouse Labourer,Manufacturing,1,44700.0,1,0.56,0,0.617
29,M,Skilled Worker,Ontario,South Asia,1,University,4,Computer Science,Civil Engineer,Natural & Applied Sciences,5,TEER 1,Partially Recognized,0,0.8853158901802152,1,Manufacturing & Utilities,Production Worker,Manufacturing,1,27500.0,3,0.92,0,0.48
39,M,Skilled Worker,Ontario,South Asia,1,University,2,Business Administration,Cashier,Sales & Service,11,TEER 4,Fully Recognized,0,0.8912683888840068,1,Sales & Service,Cashier,Accommodation & Food Services,0,61100.0,1,0.41,0,0.719
31,M,Skilled Worker,Ontario,South Asia,1,University,3,Physical Sciences,Software Developer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.879081733244869,1,Natural & Applied Sciences,IT Analyst,Information Technology,0,78800.0,1,0.32,0,0.803
25,M,Skilled Worker,Ontario,South Asia,1,University,1,Engineering,IT Analyst,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8822345526848225,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,66900.0,1,0.38,0,0.744
23,M,Skilled Worker,Ontario,South Asia,1,College,2,Information Technology,Civil Engineer,Natural & Applied Sciences,4,TEER 1,Fully Recognized,0,0.8714413160800064,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,38900.0,1,0.65,0,0.574
23,M,Skilled Worker,Ontario,South Asia,1,University,3,Engineering Technology,Auto Mechanic,"Trades, Transport & Equipment Operators",1,TEER 2,Partially Recognized,0,0.8769396231615978,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Transportation & Warehousing,0,68500.0,2,0.37,0,0.751
34,M,Skilled Worker,Ontario,South Asia,1,University,2,Engineering Technology,Plumber,"Trades, Transport & Equipment Operators",7,TEER 2,Fully Recognized,0,0.8873309277880431,1,"Trades, Transport & Equipment Operators",Electrician,Manufacturing,0,96000.0,2,0.26,1,0.887
20,M,Skilled Worker,Ontario,South Asia,1,College,3,Early Childhood Education,Paralegal,"Education, Law & Social Services",0,TEER 1,Not Recognized,1,0.8486129051614334,1,Manufacturing & Utilities,Assembly Line Worker,Transportation & Warehousing,1,16400.0,1,1.54,0,0.405
38,M,Skilled Worker,Ontario,South Asia,0,University,2,Health Sciences,Dentist,Health,8,TEER 1,Fully Recognized,1,0.8511644112002427,1,Health,Medical Laboratory Technologist,Health Care & Social Assistance,0,94100.0,2,0.27,1,0.863
39,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Business Administration,HR Specialist,"Business, Finance & Administration",8,TEER 1,Fully Recognized,0,0.8912683888840068,1,"Business, Finance & Administration",Administrative Officer,Public Administration,0,66600.0,1,0.38,0,0.747
33,M,Skilled Worker,Ontario,South Asia,1,High School,1,General Studies,Civil Engineer,Natural & Applied Sciences,15,TEER 1,Fully Recognized,0,0.8680427595776581,1,Natural & Applied Sciences,Mechanical Engineer,Professional Services,0,80100.0,1,0.31,0,0.806
32,M,Skilled Worker,Ontario,South Asia,0,University,3,Finance,Financial Analyst,"Business, Finance & Administration",9,TEER 1,Fully Recognized,0,0.8561609036579888,1,"Business, Finance & Administration",Bookkeeper,Finance & Insurance,0,83900.0,10,0.3,0,0.818
35,M,Skilled Worker,Ontario,South Asia,1,College,2,Practical Nursing,Dentist,Health,8,TEER 1,Not Recognized,1,0.8549250181088225,1,Sales & Service,Food Service Supervisor,Accommodation & Food Services,1,16400.0,22,1.54,0,0.408
37,M,Skilled Worker,Ontario,South Asia,1,High School,4,General Studies,Construction Manager,Management,14,TEER 0,Fully Recognized,0,0.8680427595776581,0,Not Employed,Not Employed,Not Applicable,0,0.0,2,1.75,0,0.347
28,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Mathematics,IT Analyst,Natural & Applied Sciences,1,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,Mechanical Engineer,Professional Services,0,74700.0,1,0.34,0,0.785
38,M,Skilled Worker,Ontario,South Asia,1,College,5,Business Administration,Construction Manager,Management,8,TEER 0,Not Recognized,0,0.8598160571634877,1,Sales & Service,Retail Sales Associate,Retail Trade,1,24500.0,1,1.03,0,0.442
26,M,Skilled Worker,Ontario,South Asia,1,College,3,Hospitality Management,Food Service Supervisor,Sales & Service,2,TEER 4,Partially Recognized,0,0.8657349585723855,1,Manufacturing & Utilities,Warehouse Labourer,Manufacturing,1,43800.0,16,0.58,0,0.605
28,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Social Work,Early Childhood Educator,"Education, Law & Social Services",0,TEER 1,Not Assessed,1,0.8703168351769119,1,"Education, Law & Social Services",Social Worker,Public Administration,0,59300.0,1,0.42,0,0.701
27,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Mathematics,Civil Engineer,Natural & Applied Sciences,1,TEER 1,Not Recognized,0,0.8703168351769119,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,37800.0,15,0.67,0,0.565
24,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Information Technology,Civil Engineer,Natural & Applied Sciences,2,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,Mechanical Engineer,Information Technology,0,108700.0,1,0.23,1,0.909
36,M,Skilled Worker,Ontario,South Asia,1,College,1,Health Sciences,Medical Laboratory Technologist,Health,13,TEER 1,Fully Recognized,1,0.8769396231615978,1,Health,Pharmacist,Health Care & Social Assistance,0,72100.0,1,0.35,0,0.769
32,M,Skilled Worker,Ontario,South Asia,1,University,2,Engineering,IT Analyst,Natural & Applied Sciences,1,TEER 1,Fully Recognized,0,0.879081733244869,1,Natural & Applied Sciences,IT Analyst,Construction,0,75300.0,5,0.33,0,0.787
24,M,Skilled Worker,Ontario,South Asia,1,University,1,Economics,Financial Analyst,"Business, Finance & Administration",0,TEER 1,Partially Recognized,0,0.8769396231615978,1,"Trades, Transport & Equipment Operators",Electrician,Construction,1,74800.0,1,0.34,0,0.782
23,M,Skilled Worker,Ontario,South Asia,1,College,1,Information Technology,Mechanical Engineer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8714413160800064,1,Manufacturing & Utilities,Assembly Line Worker,Manufacturing,1,23500.0,17,1.07,0,0.443
39,M,Skilled Worker,Ontario,South Asia,1,University,4,Finance,HR Specialist,"Business, Finance & Administration",6,TEER 1,Not Recognized,0,0.8714413160800064,1,"Business, Finance & Administration",Financial Analyst,Public Administration,0,84100.0,8,0.3,0,0.825
32,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Dentistry,Registered Nurse,Health,7,TEER 1,Not Assessed,1,0.8758563838253973,1,Sales & Service,Retail Sales Associate,Accommodation & Food Services,1,60500.0,2,0.42,0,0.708
32,M,Skilled Worker,Ontario,South Asia,1,University,2,Mathematics,IT Analyst,Natural & Applied Sciences,4,TEER 1,Partially Recognized,0,0.873665346981015,1,Sales & Service,Cashier,Accommodation & Food Services,1,28200.0,8,0.89,0,0.484
32,M,Skilled Worker,Ontario,South Asia,1,High School,2,General Studies,Accountant,"Business, Finance & Administration",14,TEER 1,Fully Recognized,0,0.8680427595776581,1,"Business, Finance & Administration",Administrative Officer,Public Administration,0,74500.0,1,0.34,0,0.777
31,M,Skilled Worker,Ontario,South Asia,1,College,5,Engineering Technology,Civil Engineer,Natural & Applied Sciences,8,TEER 1,Not Recognized,0,0.8598160571634877,1,Sales & Service,Food Service Supervisor,Retail Trade,1,28500.0,4,0.88,0,0.482
27,M,Skilled Worker,Ontario,South Asia,1,University,3,Mathematics,Mechanical Engineer,Natural & Applied Sciences,2,TEER 1,Not Recognized,0,0.8657349585723855,1,Natural & Applied Sciences,Software Developer,Information Technology,0,47500.0,1,0.53,0,0.63
24,M,Skilled Worker,Ontario,South Asia,1,University,2,Business Administration,Retail Sales Associate,Sales & Service,0,TEER 4,Partially Recognized,0,0.8769396231615978,1,Sales & Service,Cashier,Accommodation & Food Services,0,26100.0,12,0.97,0,0.461
23,M,Skilled Worker,Ontario,South Asia,0,College,3,Information Technology,Data Analyst,Natural & Applied Sciences,3,TEER 1,Fully Recognized,0,0.8366844858642852,1,Natural & Applied Sciences,Software Developer,Professional Services,0,78100.0,2,0.32,0,0.783
33,M,Skilled Worker,Ontario,South Asia,1,University,1,Accounting,Accountant,"Business, Finance & Administration",13,TEER 1,Fully Recognized,0,0.8912683888840068,1,"Business, Finance & Administration",Bookkeeper,Professional Services,0,85800.0,2,0.29,1,0.842
27,M,Skilled Worker,Ontario,South Asia,1,High School,2,General Studies,Civil Engineer,Natural & Applied Sciences,6,TEER 1,Fully Recognized,0,0.8668930926209821,1,Natural & Applied Sciences,Civil Engineer,Construction,0,83100.0,3,0.3,0,0.819
30,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,3,Human Resources,HR Specialist,"Business, Finance & Administration",0,TEER 1,Not Recognized,0,0.8311448781812288,1,"Business, Finance & Administration",Bookkeeper,Finance & Insurance,0,84400.0,1,0.3,0,0.81
33,M,Skilled Worker,Ontario,South Asia,1,University,2,Communications,Photographer,"Arts, Culture & Recreation",7,TEER 1,Fully Recognized,0,0.8873309277880431,1,"Arts, Culture & Recreation",Photographer,"Arts, Entertainment & Recreation",0,63900.0,1,0.39,0,0.733
34,M,Skilled Worker,Ontario,South Asia,1,University,5,Engineering Technology,Auto Mechanic,"Trades, Transport & Equipment Operators",6,TEER 2,Partially Recognized,0,0.8822345526848225,1,"Trades, Transport & Equipment Operators",Electrician,Manufacturing,0,61100.0,3,0.41,0,0.715
31,M,Skilled Worker,Ontario,South Asia,1,College,2,Practical Nursing,Physician,Health,5,TEER 1,Not Assessed,1,0.8598160571634877,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Construction,1,55400.0,21,0.45,0,0.676
23,M,Skilled Worker,Ontario,South Asia,0,Postgraduate,1,Management,Operations Manager,Management,3,TEER 0,Not Recognized,0,0.8353134456400885,1,Manufacturing & Utilities,Machine Operator,Manufacturing,1,60400.0,1,0.42,0,0.692
37,M,Skilled Worker,Ontario,South Asia,1,High School,2,General Studies,Pharmacist,Health,20,TEER 1,Not Assessed,1,0.8498931219157079,1,Health,Dentist,Health Care & Social Assistance,0,44800.0,1,0.56,0,0.607
37,M,Skilled Worker,Ontario,South Asia,1,University,3,Nursing,Registered Nurse,Health,9,TEER 1,Partially Recognized,1,0.8780147269152849,1,Health,Medical Laboratory Technologist,Health Care & Social Assistance,0,57200.0,5,0.44,0,0.692
40,M,Skilled Worker,Ontario,South Asia,0,University,2,Engineering,Data Analyst,Natural & Applied Sciences,13,TEER 1,Partially Recognized,0,0.8549250181088225,1,Manufacturing & Utilities,Warehouse Labourer,Transportation & Warehousing,1,43800.0,2,0.58,0,0.601
32,M,Skilled Worker,Ontario,South Asia,1,University,2,Physical Sciences,Civil Engineer,Natural & Applied Sciences,7,TEER 1,Fully Recognized,0,0.8873309277880431,1,Natural & Applied Sciences,IT Analyst,Manufacturing,0,86900.0,5,0.29,1,0.845
28,M,Skilled Worker,Ontario,South Asia,1,College,4,Early Childhood Education,Lawyer,"Education, Law & Social Services",3,TEER 1,Not Recognized,1,0.8486129051614334,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,69500.0,4,0.36,0,0.745
35,M,Skilled Worker,Ontario,South Asia,1,College,3,Accounting,Financial Analyst,"Business, Finance & Administration",9,TEER 1,Fully Recognized,0,0.8769396231615978,1,"Business, Finance & Administration",Administrative Officer,Public Administration,0,92200.0,2,0.27,1,0.866
31,M,Skilled Worker,Ontario,South Asia,1,College,2,Information Technology,IT Analyst,Natural & Applied Sciences,11,TEER 1,Partially Recognized,0,0.8758563838253973,1,"Trades, Transport & Equipment Operators",Truck Driver,Construction,1,56500.0,3,0.45,0,0.686
24,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,3,Psychology,Social Worker,"Education, Law & Social Services",3,TEER 1,Not Recognized,1,0.8657349585723855,1,"Trades, Transport & Equipment Operators",Plumber,Manufacturing,1,66700.0,2,0.38,0,0.737
29,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Mathematics,Civil Engineer,Natural & Applied Sciences,1,TEER 1,Fully Recognized,0,0.8863273012718985,1,Natural & Applied Sciences,Data Analyst,Manufacturing,0,77200.0,1,0.33,0,0.797
49,M,Skilled Worker,Ontario,South Asia,1,High School,1,General Studies,Physician,Health,23,TEER 1,Partially Recognized,1,0.8573880170410024,1,Sales & Service,Customer Service Representative,Accommodation & Food Services,1,16600.0,1,1.52,0,0.409
34,M,Skilled Worker,Ontario,South Asia,1,College,1,Information Technology,Mechanical Engineer,Natural & Applied Sciences,10,TEER 1,Not Assessed,0,0.8691839951038786,0,Not Employed,Not Employed,Not Applicable,0,0.0,7,1.75,0,0.348
25,M,Skilled Worker,Ontario,South Asia,1,University,2,Nursing,Physician,Health,3,TEER 1,Fully Recognized,1,0.8780147269152849,1,Health,Pharmacist,Health Care & Social Assistance,0,64900.0,1,0.39,0,0.733
24,M,Skilled Worker,Ontario,South Asia,1,University,3,Management,Construction Manager,Management,0,TEER 0,Partially Recognized,0,0.8769396231615978,1,"Trades, Transport & Equipment Operators",Welder,Construction,1,54000.0,8,0.47,0,0.673
31,M,Skilled Worker,Ontario,South Asia,1,University,3,Engineering,Software Developer,Natural & Applied Sciences,7,TEER 1,Fully Recognized,0,0.8873309277880431,1,Natural & Applied Sciences,Software Developer,Professional Services,0,105000.0,1,0.24,1,0.907
38,M,Skilled Worker,Ontario,South Asia,1,University,2,Manufacturing Technology,Warehouse Labourer,Manufacturing & Utilities,10,TEER 5,Fully Recognized,0,0.8912683888840068,1,Manufacturing & Utilities,Machine Operator,Manufacturing,0,54800.0,1,0.46,0,0.684
30,M,Skilled Worker,Ontario,South Asia,1,High School,3,Skilled Trades,Truck Driver,"Trades, Transport & Equipment Operators",8,TEER 2,Partially Recognized,0,0.8573880170410024,0,Not Employed,Not Employed,Not Applicable,0,0.0,1,1.75,0,0.343
34,M,Skilled Worker,Ontario,South Asia,1,University,4,Social Work,Teacher,"Education, Law & Social Services",9,TEER 1,Fully Recognized,1,0.8832695553891954,1,"Education, Law & Social Services",Lawyer,Health Care & Social Assistance,0,86000.0,1,0.29,1,0.839
27,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,1,Media Studies,Photographer,"Arts, Culture & Recreation",0,TEER 1,Not Recognized,0,0.8703168351769119,1,Manufacturing & Utilities,Warehouse Labourer,Transportation & Warehousing,1,40300.0,9,0.63,0,0.583
39,M,Skilled Worker,Ontario,South Asia,0,University,4,Public Administration,Operations Manager,Management,10,TEER 0,Fully Recognized,0,0.8610170498408068,1,Management,Construction Manager,Construction,0,101700.0,2,0.25,1,0.894
37,M,Skilled Worker,Ontario,South Asia,1,University,1,Business Administration,Retail Sales Associate,Sales & Service,11,TEER 4,Fully Recognized,0,0.8912683888840068,1,Sales & Service,Food Service Supervisor,Retail Trade,0,101300.0,1,0.25,1,0.907
25,M,Skilled Worker,Ontario,South Asia,1,University,1,Computer Science,Software Developer,Natural & Applied Sciences,1,TEER 1,Partially Recognized,0,0.8769396231615978,1,Manufacturing & Utilities,Assembly Line Worker,Manufacturing,1,56600.0,3,0.45,0,0.687
31,M,Skilled Worker,Ontario,South Asia,1,Postgraduate,2,Management,Construction Manager,Management,3,TEER 0,Not Assessed,0,0.8714413160800064,0,Not Employed,Not Employed,Not Applicable,0,0.0,3,1.75,0,0.349
26,M,Skilled Worker,Ontario,South Asia,1,College,1,Engineering Technology,Data Analyst,Natural & Applied Sciences,0,TEER 1,Partially Recognized,0,0.8657349585723855,1,Sales & Service,Cashier,Accommodation & Food Services,1,38000.0,7,0.66,0,0.566
22,M,Skilled Worker,Ontario,South Asia,1,University,1,Engineering Technology,Auto Mechanic,"Trades, Transport & Equipment Operators",0,TEER 2,Not Assessed,0,0.8703168351769119,1,"Trades, Transport & Equipment Operators",Truck Driver,Construction,0,74200.0,3,0.34,0,0.777
36,M,Skilled Worker,Ontario,South Asia,1,University,4,Engineering Technology,Plumber,"Trades, Transport & Equipment Operators",9,TEER 2,Partially Recognized,0,0.8822345526848225,1,Sales & Service,Retail Sales Associate,Retail Trade,1,43600.0,3,0.58,0,0.611
26,M,Skilled Worker,Ontario,South Asia,1,High School,3,General Studies,Mechanical Engineer,Natural & Applied Sciences,0,TEER 1,Fully Recognized,0,0.8573880170410024,1,Natural & Applied Sciences,IT Analyst,Construction,0,57900.0,2,0.44,0,0.687
35,M,Skilled Worker,Ontario,South Asia,1,College,2,Skilled Trades,Electrician,"Trades, Transport & Equipment Operators",12,TEER 2,Partially Recognized,0,0.8758563838253973,1,Manufacturing & Utilities,Assembly Line Worker,Manufacturing,1,45500.0,1,0.55,0,0.622
18,M,Skilled Worker,Ontario,South Asia,1,College,4,Hospitality Management,Food Service Supervisor,Sales & Service,2,TEER 4,Fully Recognized,0,0.8714413160800064,1,Sales & Service,Cashier,Retail Trade,0,43600.0,5,0.58,0,0.607
27,M,Skilled Worker,Ontario,South Asia,1,University,3,Health Sciences,Registered Nurse,Health,3,TEER 1,Fully Recognized,1,0.8780147269152849,1,"Trades, Transport & Equipment Operators",Auto Mechanic,Manufacturing,1,59000.0,1,0.43,0,0.701
