record_id,city,cmhc_centre,neighbourhood,bedroom_type,unit_type,monthly_rent,cmhc_avg_rent_2br_2025,vacancy_rate_2025,turnover_rate_2025,rent_change_pct_2024_2025,latitude,longitude,record_type,source_category,source_reference,vacancy_quality_code,rent_quality_code
SYN-0589,Hamilton,Hamilton CMA,Hamilton area 04,2 Bedroom,Apartment,1765,1656,3.6,13.1,1.6,43.189428,-79.922393,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0590,Thunder Bay,Thunder Bay CMA,Thunder Bay area 08,1 Bedroom,Apartment,1010,1495,4,3.4,6.8,48.307761,-89.177546,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0591,Toronto,Toronto CMA,Toronto area 05,1 Bedroom,Apartment,1620,2046,3,8.7,3.4,43.68231,-79.498752,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0592,Hamilton,Hamilton CMA,Hamilton area 02,3 Bedroom,Apartment,2045,1656,3.6,13.1,1.6,43.208347,-79.765008,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0593,Brantford,Brantford CMA,Brantford area 01,3 Bedroom,Apartment,2065,1619,3.5,14.5,,43.19324,-80.343129,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0594,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 07,2 Bedroom,Townhouse,1500,1527,3.9,12.8,5.5,43.190182,-79.343237,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0595,London,London CMA,London area 01,3 Bedroom,Apartment,2150,1651,4,15.1,4.1,42.903011,-81.282519,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0596,London,London CMA,London area 03,2 Bedroom,Apartment,1760,1651,4,15.1,4.1,43.036341,-81.343622,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0597,Kingston,Kingston CMA,Kingston area 08,2 Bedroom,Apartment,1750,1764,2.4,17.3,2.4,44.202959,-76.564484,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0598,London,London CMA,London area 09,Studio,Apartment,1025,1651,4,15.1,4.1,42.931704,-81.199209,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0599,Peterborough,Peterborough CMA,Peterborough area 09,1 Bedroom,Townhouse,1365,1518,3.1,8.4,,44.338805,-78.430596,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0600,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 07,2 Bedroom,Apartment,1505,1527,3.9,12.8,5.5,43.175126,-79.227664,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0601,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 06,1 Bedroom,Apartment,1185,1558,1.2,6.6,,46.573148,-80.988244,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0602,Peterborough,Peterborough CMA,Peterborough area 03,1 Bedroom,Townhouse,1335,1518,3.1,8.4,,44.386534,-78.457602,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0603,Toronto,Toronto CMA,Toronto area 10,1 Bedroom,Apartment,1575,2046,3,8.7,3.4,43.583248,-79.477914,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0604,Guelph,Guelph CMA,Guelph area 08,2 Bedroom,Townhouse,1935,1802,3.1,15.1,4.6,43.607035,-80.187426,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0605,Windsor,Windsor CMA,Windsor area 10,1 Bedroom,Apartment,1135,1454,3.7,12.2,3.6,42.263634,-83.137046,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0606,Kingston,Kingston CMA,Kingston area 03,1 Bedroom,Apartment,1355,1764,2.4,17.3,2.4,44.30936,-76.584568,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0607,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 11,3 Bedroom,Townhouse,1870,1527,3.9,12.8,5.5,43.063124,-79.186705,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0608,Oshawa,Oshawa CMA,Oshawa area 08,3 Bedroom,Apartment,2035,1754,3.7,4.8,,43.886941,-78.729029,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0609,Kingston,Kingston CMA,Kingston area 11,1 Bedroom,Townhouse,1395,1764,2.4,17.3,2.4,44.295291,-76.574793,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0610,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 02,1 Bedroom,Apartment,1155,1527,3.9,12.8,5.5,43.24387,-79.220433,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0611,London,London CMA,London area 07,1 Bedroom,Apartment,1405,1651,4,15.1,4.1,43.056818,-81.244108,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0612,Hamilton,Hamilton CMA,Hamilton area 01,2 Bedroom,Apartment,1710,1656,3.6,13.1,1.6,43.250874,-79.839589,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0613,Guelph,Guelph CMA,Guelph area 11,Studio,Apartment,1320,1802,3.1,15.1,4.6,43.44504,-80.127418,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0614,Thunder Bay,Thunder Bay CMA,Thunder Bay area 07,2 Bedroom,Apartment,1415,1495,4,3.4,6.8,48.455865,-89.188185,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0615,London,London CMA,London area 12,3 Bedroom,Townhouse,2235,1651,4,15.1,4.1,43.00271,-81.179303,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0616,Guelph,Guelph CMA,Guelph area 02,1 Bedroom,Apartment,1370,1802,3.1,15.1,4.6,43.540228,-80.322006,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0617,Oshawa,Oshawa CMA,Oshawa area 09,2 Bedroom,Townhouse,1895,1754,3.7,4.8,,43.945829,-79.002601,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0618,Guelph,Guelph CMA,Guelph area 06,2 Bedroom,Townhouse,1960,1802,3.1,15.1,4.6,43.575709,-80.196391,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0619,Thunder Bay,Thunder Bay CMA,Thunder Bay area 10,1 Bedroom,Apartment,1115,1495,4,3.4,6.8,48.333161,-89.236828,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0620,Peterborough,Peterborough CMA,Peterborough area 09,2 Bedroom,Townhouse,1715,1518,3.1,8.4,,44.360094,-78.343952,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0621,Windsor,Windsor CMA,Windsor area 12,1 Bedroom,Townhouse,1285,1454,3.7,12.2,3.6,42.283771,-82.98082,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0622,Hamilton,Hamilton CMA,Hamilton area 12,2 Bedroom,Apartment,1760,1656,3.6,13.1,1.6,43.305263,-79.885766,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0623,Kingston,Kingston CMA,Kingston area 01,Studio,Townhouse,1335,1764,2.4,17.3,2.4,44.254005,-76.434484,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0624,Kingston,Kingston CMA,Kingston area 08,1 Bedroom,Apartment,1255,1764,2.4,17.3,2.4,44.292074,-76.395772,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0625,Thunder Bay,Thunder Bay CMA,Thunder Bay area 07,Studio,Apartment,1020,1495,4,3.4,6.8,48.288451,-89.282532,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0626,Oshawa,Oshawa CMA,Oshawa area 11,2 Bedroom,Apartment,1805,1754,3.7,4.8,,43.986243,-78.77692,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0627,Windsor,Windsor CMA,Windsor area 10,1 Bedroom,Apartment,1315,1454,3.7,12.2,3.6,42.318531,-83.118962,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0628,London,London CMA,London area 03,2 Bedroom,Apartment,1420,1651,4,15.1,4.1,42.956848,-81.202918,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0629,Brantford,Brantford CMA,Brantford area 12,3 Bedroom,Townhouse,2055,1619,3.5,14.5,,43.156616,-80.259537,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0630,Brantford,Brantford CMA,Brantford area 10,3 Bedroom,Apartment,2110,1619,3.5,14.5,,43.184628,-80.248198,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0631,Peterborough,Peterborough CMA,Peterborough area 01,1 Bedroom,Apartment,1280,1518,3.1,8.4,,44.300052,-78.346543,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0632,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 06,1 Bedroom,Apartment,1490,1527,3.9,12.8,5.5,43.171126,-79.246031,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0633,Guelph,Guelph CMA,Guelph area 07,2 Bedroom,Apartment,1980,1802,3.1,15.1,4.6,43.559779,-80.194618,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0634,Windsor,Windsor CMA,Windsor area 08,2 Bedroom,Apartment,1315,1454,3.7,12.2,3.6,42.407148,-83.04753,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0635,Barrie,Barrie CMA,Barrie area 04,1 Bedroom,Apartment,1580,1755,4.3,12.8,4.3,44.48824,-79.640786,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0636,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 05,1 Bedroom,Apartment,1650,1926,3,15.4,3.4,45.424801,-75.836903,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0637,London,London CMA,London area 08,1 Bedroom,Townhouse,1370,1651,4,15.1,4.1,42.900106,-81.127357,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0638,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 04,1 Bedroom,Apartment,1385,1926,3,15.4,3.4,45.358057,-75.627059,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0639,Windsor,Windsor CMA,Windsor area 04,2 Bedroom,Apartment,1435,1454,3.7,12.2,3.6,42.256256,-83.116792,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0640,Peterborough,Peterborough CMA,Peterborough area 11,1 Bedroom,Apartment,1055,1518,3.1,8.4,,44.233076,-78.43751,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0641,Windsor,Windsor CMA,Windsor area 10,2 Bedroom,Apartment,1515,1454,3.7,12.2,3.6,42.277983,-82.928721,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0642,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 03,1 Bedroom,Apartment,1180,1527,3.9,12.8,5.5,43.138976,-79.178309,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0643,Belleville,Belleville - Quinte West CMA,Belleville area 11,2 Bedroom,Townhouse,1455,1484,3.4,16.9,,44.163295,-77.412832,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0644,Kingston,Kingston CMA,Kingston area 12,1 Bedroom,Apartment,1465,1764,2.4,17.3,2.4,44.270849,-76.497145,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0645,Barrie,Barrie CMA,Barrie area 03,Studio,Apartment,1165,1755,4.3,12.8,4.3,44.36172,-79.589029,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0646,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 03,1 Bedroom,Townhouse,1385,1527,3.9,12.8,5.5,43.251105,-79.289919,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0647,Windsor,Windsor CMA,Windsor area 03,1 Bedroom,Townhouse,1260,1454,3.7,12.2,3.6,42.385765,-83.096003,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0648,Hamilton,Hamilton CMA,Hamilton area 04,3 Bedroom,Apartment,1895,1656,3.6,13.1,1.6,43.318538,-79.810462,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0649,Thunder Bay,Thunder Bay CMA,Thunder Bay area 03,2 Bedroom,Apartment,1670,1495,4,3.4,6.8,48.31081,-89.155656,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0650,Thunder Bay,Thunder Bay CMA,Thunder Bay area 09,1 Bedroom,Apartment,1410,1495,4,3.4,6.8,48.437967,-89.307915,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0651,Belleville,Belleville - Quinte West CMA,Belleville area 08,1 Bedroom,Apartment,1370,1484,3.4,16.9,,44.158108,-77.346995,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0652,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 05,1 Bedroom,Apartment,1660,1926,3,15.4,3.4,45.43357,-75.574147,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0653,Peterborough,Peterborough CMA,Peterborough area 11,Studio,Apartment,965,1518,3.1,8.4,,44.330215,-78.29822,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0654,Kingston,Kingston CMA,Kingston area 08,3 Bedroom,Apartment,2365,1764,2.4,17.3,2.4,44.202222,-76.437658,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0655,Toronto,Toronto CMA,Toronto area 11,3 Bedroom,Townhouse,2545,2046,3,8.7,3.4,43.744519,-79.281405,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0656,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 03,1 Bedroom,Townhouse,1610,1926,3,15.4,3.4,45.49128,-75.819344,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0657,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 08,1 Bedroom,Apartment,1475,1926,3,15.4,3.4,45.442577,-75.72699,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0658,Peterborough,Peterborough CMA,Peterborough area 01,2 Bedroom,Townhouse,1480,1518,3.1,8.4,,44.291898,-78.408052,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0659,Hamilton,Hamilton CMA,Hamilton area 02,2 Bedroom,Apartment,1835,1656,3.6,13.1,1.6,43.171713,-79.96257,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0660,Guelph,Guelph CMA,Guelph area 07,Studio,Townhouse,1265,1802,3.1,15.1,4.6,43.554487,-80.378888,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0661,Brantford,Brantford CMA,Brantford area 12,Studio,Apartment,1265,1619,3.5,14.5,,43.117369,-80.33858,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0662,Oshawa,Oshawa CMA,Oshawa area 01,1 Bedroom,Apartment,1565,1754,3.7,4.8,,43.823355,-78.771844,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0663,Belleville,Belleville - Quinte West CMA,Belleville area 09,2 Bedroom,Apartment,1565,1484,3.4,16.9,,44.23698,-77.261962,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0664,Toronto,Toronto CMA,Toronto area 12,1 Bedroom,Apartment,1570,2046,3,8.7,3.4,43.671366,-79.395212,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0665,Thunder Bay,Thunder Bay CMA,Thunder Bay area 05,2 Bedroom,Apartment,1605,1495,4,3.4,6.8,48.326326,-89.371296,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0666,Peterborough,Peterborough CMA,Peterborough area 03,1 Bedroom,Apartment,1185,1518,3.1,8.4,,44.269815,-78.459421,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0667,Peterborough,Peterborough CMA,Peterborough area 07,1 Bedroom,Apartment,1205,1518,3.1,8.4,,44.360195,-78.375707,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0668,Oshawa,Oshawa CMA,Oshawa area 09,2 Bedroom,Apartment,1610,1754,3.7,4.8,,43.906742,-78.952238,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0669,Thunder Bay,Thunder Bay CMA,Thunder Bay area 02,1 Bedroom,Apartment,1195,1495,4,3.4,6.8,48.446585,-89.331837,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0670,Thunder Bay,Thunder Bay CMA,Thunder Bay area 05,2 Bedroom,Apartment,1335,1495,4,3.4,6.8,48.337835,-89.174549,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0671,Thunder Bay,Thunder Bay CMA,Thunder Bay area 05,1 Bedroom,Apartment,1255,1495,4,3.4,6.8,48.408279,-89.212249,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0672,Windsor,Windsor CMA,Windsor area 01,1 Bedroom,Apartment,1260,1454,3.7,12.2,3.6,42.24533,-82.909356,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0673,Kingston,Kingston CMA,Kingston area 03,3 Bedroom,Apartment,2140,1764,2.4,17.3,2.4,44.276621,-76.560579,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0674,Barrie,Barrie CMA,Barrie area 08,1 Bedroom,Apartment,1610,1755,4.3,12.8,4.3,44.373449,-79.610332,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0675,Peterborough,Peterborough CMA,Peterborough area 07,1 Bedroom,Apartment,1160,1518,3.1,8.4,,44.399429,-78.443784,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0676,Brantford,Brantford CMA,Brantford area 07,2 Bedroom,Apartment,1825,1619,3.5,14.5,,43.077838,-80.170788,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0677,Barrie,Barrie CMA,Barrie area 04,1 Bedroom,Apartment,1220,1755,4.3,12.8,4.3,44.338832,-79.551891,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0678,Toronto,Toronto CMA,Toronto area 08,2 Bedroom,Apartment,2320,2046,3,8.7,3.4,43.657428,-79.249933,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0679,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 09,2 Bedroom,Apartment,1620,1558,1.2,6.6,,46.537347,-80.921907,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0680,Guelph,Guelph CMA,Guelph area 11,1 Bedroom,Apartment,1450,1802,3.1,15.1,4.6,43.484545,-80.141274,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0681,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo CMA,Kitchener-Waterloo area 02,3 Bedroom,Apartment,2155,1832,4.1,16.1,3.3,43.385072,-80.554184,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0682,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 12,2 Bedroom,Apartment,1480,1558,1.2,6.6,,46.585467,-80.969447,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0683,Windsor,Windsor CMA,Windsor area 10,2 Bedroom,Apartment,1420,1454,3.7,12.2,3.6,42.24644,-83.146913,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0684,Ottawa,Ottawa-Gatineau CMA (Ont. part),Ottawa area 12,3 Bedroom,Apartment,2425,1926,3,15.4,3.4,45.333455,-75.656004,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0685,Guelph,Guelph CMA,Guelph area 08,1 Bedroom,Apartment,1420,1802,3.1,15.1,4.6,43.573729,-80.290329,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0686,Kitchener-Waterloo,Kitchener-Cambridge-Waterloo CMA,Kitchener-Waterloo area 01,Studio,Townhouse,1465,1832,4.1,16.1,3.3,43.423233,-80.593131,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0687,Windsor,Windsor CMA,Windsor area 06,2 Bedroom,Apartment,1330,1454,3.7,12.2,3.6,42.32824,-83.024602,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0688,Toronto,Toronto CMA,Toronto area 05,1 Bedroom,Apartment,1640,2046,3,8.7,3.4,43.566975,-79.478559,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0689,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 01,2 Bedroom,Townhouse,1825,1527,3.9,12.8,5.5,43.135209,-79.33312,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0690,Peterborough,Peterborough CMA,Peterborough area 09,2 Bedroom,Apartment,1520,1518,3.1,8.4,,44.273239,-78.441743,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0691,Greater Sudbury,Greater Sudbury/Grand Sudbury CMA,Greater Sudbury area 06,1 Bedroom,Townhouse,1385,1558,1.2,6.6,,46.448326,-81.019202,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",a,a
SYN-0692,Guelph,Guelph CMA,Guelph area 03,Studio,Apartment,1170,1802,3.1,15.1,4.6,43.453555,-80.1274,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0693,Belleville,Belleville - Quinte West CMA,Belleville area 08,1 Bedroom,Townhouse,1325,1484,3.4,16.9,,44.19115,-77.414259,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",c,a
SYN-0694,St. Catharines,St. Catharines-Niagara CMA,St. Catharines area 04,Studio,Apartment,1055,1527,3.9,12.8,5.5,43.180591,-79.364557,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0695,Windsor,Windsor CMA,Windsor area 07,3 Bedroom,Apartment,1600,1454,3.7,12.2,3.6,42.287085,-82.970547,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
SYN-0696,Peterborough,Peterborough CMA,Peterborough area 01,2 Bedroom,Apartment,1550,1518,3.1,8.4,,44.373829,-78.385153,Synthetic candidate record,Derived from CMHC baseline,"CMHC Rental Market Survey, Canada, 2025; Table 1.0",b,a
